bez_id,bez_name,pgr_id,PG_name,angebotsmieten_2020,anteil_sozialwohng_2020 ,anteil_staedt_wohnges_2020 ,entwicklung_2015_2020,aenderung_anteil_leistungs,anteil_leistungsempfaenger ,wohnungsumwandlungen1520 ,wohnungsumwandlungen ,wohnungsverkaeufe1520,wohnungsverkaeufe ,wohndauer
1,Mitte,101,Zentrum,16.17,1.84,16.66,11.3,-1.27,8.13,78.4,15.4,48.92,7.71,56.72
1,Mitte,102,Moabit,14.53,6.69,4.41,6.07,-4.96,16.14,87.18,11.91,52.36,8.43,59.13
1,Mitte,103,Gesundbrunnen,10.24,23.13,19.77,2.86,-5.19,30.61,43.93,6.37,25.25,3.28,63.97
1,Mitte,104,Wedding,9.6,5.88,15.24,1.08,-5.22,23.98,68.98,10.38,43.52,5.29,61.67
2,Friedrichshain_Kreuzberg,201,Kreuzberg-Nord,13.35,26.09,28.67,0.9,-7.4,31.2,61.13,4.99,18.2,1.39,68.52
2,Friedrichshain_Kreuzberg,202,Kreuzberg Süd,14.41,5.63,4.9,2.41,-3.35,12.55,132.09,25.46,48.02,6.33,63.4
2,Friedrichshain_Kreuzberg,203,Kreuzberg Ost,12.69,7.39,9.34,-2.31,-5.01,19.39,90.74,16.02,42.41,6.25,68.17
2,Friedrichshain_Kreuzberg,204,Friedrichshain West,14.63,1.12,37.51,6.09,-1.08,11.32,121.07,6.9,56.39,8.19,59.7
2,Friedrichshain_Kreuzberg,205,Friedrichshain Ost,13.97,0.74,8.37,9.84,-2.04,10.26,152.38,30.55,84.35,11.17,52.42
3,Pankow,301,Buch,8.65,0.0,44.8,6.99,-2.54,15.06,2.55,0.0,7.4,0.92,63.49
3,Pankow,302,Nördliches Pankow,10.76,3.21,3.45,5.41,-1.14,5.36,30.08,6.68,22.11,2.59,69.0
3,Pankow,303,Nördliches Weißensee,9.21,10.06,4.96,5.97,0.45,6.55,17.16,6.98,0.46,0.06,71.32
3,Pankow,304,Südliches Pankow,10.51,1.64,20.26,6.01,-2.2,6.9,45.55,16.44,29.48,4.48,66.1
3,Pankow,305,Südliches Weißensee,10.29,1.73,21.09,5.91,-3.0,9.3,44.58,5.62,22.29,2.39,63.25
3,Pankow,306,Nördlicher Prenzlauer Berg,10.49,0.63,15.44,3.96,-1.53,8.87,84.71,12.94,66.05,6.94,61.31
3,Pankow,307,Südlicher Prenzlauer Berg,11.26,0.39,12.77,5.21,-1.41,6.29,88.38,29.32,59.9,8.81,61.18
4,Charlottenburg-Wilmersdorf,401,CW 1,7.45,10.92,47.13,1.47,-4.11,22.09,8.02,0.0,28.42,2.26,71.33
4,Charlottenburg-Wilmersdorf,402,CW 2,10.64,2.37,3.58,2.68,0.08,5.68,36.18,2.66,66.36,7.4,66.23
4,Charlottenburg-Wilmersdorf,403,CW 3,13.07,4.71,6.8,3.37,-2.73,9.17,98.68,18.86,72.07,10.55,64.77
4,Charlottenburg-Wilmersdorf,404,CW 4,12.38,7.95,9.01,4.74,-0.42,5.88,48.16,7.43,57.8,8.97,68.32
4,Charlottenburg-Wilmersdorf,405,CW 5,12.9,3.14,3.93,3.03,-1.62,7.88,101.88,27.6,70.4,10.19,65.67
4,Charlottenburg-Wilmersdorf,406,CW 6,0.0,0.0,0.0,-8.82,0.0,0.0,0.0,0.0,0.0,0.0,70.97
5,Spandau,501,SPA 1,7.99,5.95,12.59,6.47,-3.33,19.27,14.01,7.04,33.4,4.03,63.57
5,Spandau,502,SPA 2,8.82,10.45,19.87,3.56,-1.95,18.75,15.61,3.21,29.07,3.23,67.1
5,Spandau,503,SPA 3,8.33,10.42,30.69,3.86,-3.38,18.22,4.36,2.91,34.25,4.04,65.93
5,Spandau,504,SPA 4,9.89,1.49,1.78,1.31,-0.51,2.49,6.76,0.82,8.12,1.05,73.98
6,Steglitz,601,Region A,10.8,2.0,1.39,2.51,-2.75,6.85,55.25,9.91,60.48,9.76,67.93
6,Steglitz,602,Region B,9.29,6.22,9.61,2.82,-2.09,8.61,20.78,11.27,31.99,4.33,68.99
6,Steglitz,603,Region C,10.84,3.52,2.48,3.78,-0.37,5.03,30.73,6.72,44.53,5.45,68.34
6,Tempelhof-Schöneberg,604,Region D,11.45,2.47,2.07,2.92,-0.13,2.47,22.75,8.58,21.32,4.65,69.69
7,Tempelhof-Schöneberg,701,Schöneberg-Nord,11.21,12.73,18.83,1.84,-2.65,15.35,70.38,11.43,48.98,6.62,66.09
7,Tempelhof-Schöneberg,702,Schöneberg Süd,13.99,4.04,7.81,3.28,-2.51,11.59,84.3,22.58,56.66,8.79,65.19
7,Tempelhof-Schöneberg,703,Friedenau,11.29,1.24,1.96,1.36,-2.05,7.45,66.98,25.32,69.49,8.94,70.01
7,Tempelhof-Schöneberg,704,Tempelhof,10.47,2.76,12.69,1.94,-3.39,14.21,33.69,11.76,39.08,5.48,66.78
7,Tempelhof-Schöneberg,705,Mariendorf,8.3,8.04,10.09,2.77,-1.31,13.29,24.91,9.14,37.21,3.91,68.33
7,Tempelhof-Schöneberg,706,Marienfelde,8.1,12.72,26.73,1.99,-1.23,17.27,4.42,1.98,11.04,1.73,71.07
7,Tempelhof-Schöneberg,707,Lichtenrade,8.34,9.91,15.31,3.85,-0.25,11.95,9.61,5.4,22.89,3.07,70.23
8,Neukölln,801,Neukölln,11.52,6.73,9.55,-2.02,-6.2,24.8,98.74,14.05,41.44,4.85,62.91
8,Neukölln,802,Britz/Buckow,8.67,10.47,15.16,2.0,-1.49,16.61,28.97,7.51,17.98,3.5,70.39
8,Neukölln,803,Gropiusstadt,8.22,6.54,27.15,2.33,-3.22,22.48,3.61,2.36,24.23,2.51,73.05
8,Neukölln,804,Buckow Nord/Rudow,7.9,18.57,9.78,1.93,0.25,9.15,12.51,0.32,10.65,2.0,73.57
9,Treptow-Köpenick,901,Treptow-Köpenick 1,10.72,0.59,18.72,6.05,-1.64,9.46,35.02,9.1,36.01,5.51,65.16
9,Treptow-Köpenick,902,Treptow-Köpenick 2,10.22,2.91,25.39,16.16,-1.64,14.56,40.57,6.99,43.32,5.17,55.37
9,Treptow-Köpenick,903,Treptow-Köpenick 3,11.56,8.94,23.25,8.97,0.34,9.24,4.05,0.97,4.44,1.01,67.94
9,Treptow-Köpenick,904,Treptow-Köpenick 4,8.47,2.41,25.72,4.21,-0.95,7.65,17.93,4.67,9.74,0.89,69.12
9,Treptow-Köpenick,905,Treptow-Köpenick 5,10.57,0.95,15.2,7.67,-0.51,5.49,24.14,3.0,22.61,2.17,67.21
10,Marzahn-Hellersdorf,1001,Marzahn,7.21,1.03,35.26,3.12,-6.49,16.51,12.64,2.04,3.41,0.6,70.55
10,Marzahn-Hellersdorf,1002,Hellersdorf,8.62,2.55,38.33,6.44,-6.08,20.32,0.0,0.0,6.07,0.94,65.45
10,Marzahn-Hellersdorf,1003,Biesdorf,9.55,2.81,14.69,12.44,-0.27,4.23,1.87,0.44,2.52,0.44,67.81
10,Marzahn-Hellersdorf,1004,Kaulsdorf/Mahlsdorf,9.71,0.55,0.75,5.79,-1.0,2.5,4.2,1.08,2.41,0.54,76.57
11,Lichtenberg,1101,Hohenschönhausen Nord,8.04,0.55,52.92,5.31,-2.99,19.51,1.33,1.23,14.05,1.67,71.1
11,Lichtenberg,1102,Hohenschönhausen Süd,8.91,2.76,35.97,11.21,0.56,13.66,11.55,0.48,10.59,1.75,64.36
11,Lichtenberg,1103,Lichtenberg Nord,8.72,0.59,32.85,4.89,-3.5,12.1,10.66,4.45,6.99,0.63,62.09
11,Lichtenberg,1104,Lichtenberg Mitte,9.49,2.04,31.11,9.99,-2.57,13.13,38.52,8.22,20.71,2.13,61.22
11,Lichtenberg,1105,Lichtenberg Süd,9.75,1.3,24.83,10.27,-0.2,4.9,43.49,5.91,26.58,3.71,62.32
12,Reinickendorf,1210,Reinickendorf-Ost,8.97,5.88,3.04,5.4,-4.47,20.63,22.53,7.43,40.43,5.19,63.87
12,Reinickendorf,1221,Tegel,8.25,4.12,17.57,5.46,-1.55,18.25,22.89,5.48,39.85,4.84,65.07
12,Reinickendorf,1222,Heiligensee-Konradshöhe,10.79,2.88,1.68,0.87,-0.32,2.68,5.91,1.36,10.53,1.63,76.87
12,Reinickendorf,1223,Frohnau-Hermsdorf,9.74,1.72,1.46,1.19,-0.13,2.57,3.82,0.62,15.46,2.91,75.56
12,Reinickendorf,1230,Waidmannslust,7.55,1.56,42.23,3.38,-2.74,18.36,10.73,0.53,15.78,2.33,69.9
